Feature,Coefficient
Weighted_Distribution,21277.01117632366
Numeric_Distribution,16550.871340658003
TPR_Flag,9255.818805009507
Feature_Flag,7980.154963587602
Display_Flag,6537.7194555118995
Rainfall_Index,822.0568569373492
Print_Readership_Adstock,0.03204903743262636
Facebook_Impressions_Adstock,0.002445569051447613
TV_Impressions_Adstock,0.001455813216792473
YouTube_Impressions_Adstock,0.0012955508098056437
Instagram_Impressions_Adstock,0.000505140821518749
Radio_Listenership_Adstock,-0.004334948132466017
Trade_Spend,-0.03283124004303805
CPI,-186.6328856148225
Net_Price,-201.05791478172387
GDP_Growth,-275.8089673811369
Festival_Index,-561.2126959760932
